time,x,y,z,d,V,Wv,E
0,-130,170,20,0,10,0,25.0968399592
1.0,-120.104202531,165.385513856,15.5964740423,11.7733313375,13.6527263774,0.0,25.0968276374
2.0,-106.767204834,160.254666672,12.4944151109,26.3960489376,15.7244738859,0.0,25.0968146515
3.0,-91.5595674908,154.831086029,10.3899595848,42.6784380009,16.9867107419,0.0,25.0968067728
4.0,-83.6291532159,147.002979147,15.973467938,55.1422373196,8.69511134494,0.0,19.8269318167
5.0,-75.9450145654,141.065044704,12.0786175524,65.6052632576,12.3297104416,0.0,19.8269233411
6.0,-66.6451651572,132.311369065,10.4956356416,78.4746015439,13.5306943862,0.0,19.8269144679
6.0,-66.6451651572,132.311369065,10.4956356416,78.4746015439,13.5306943862,0.0,19.8269144679
6.0,-66.6451651572,132.311369065,10.4956356416,78.4746015439,13.5306943862,0.0,19.8269144679
7.0,-57.1848435528,133.52382766,14.1930459835,88.7039018103,7.37614589938,0.0,16.9661106282
8.0,-49.0984588163,130.943655188,10.8043016575,97.8434037772,10.995208148,0.0,16.9661060519
8.0,-49.0984588163,130.943655188,10.8043016575,97.8434037772,10.995208148,0.0,16.9661060519
8.0,-49.0984588163,130.943655188,10.8043016575,97.8434037772,10.995208148,0.0,16.9661060519
9.0,-37.655202678,131.053547499,9.41178769344,109.371598888,12.174381308,0.0,16.9660975932
10.0,-29.389879798,135.00479867,12.0445554378,118.903619352,7.21776002408,0.0,14.699808229
11.0,-21.7061072627,135.078587766,11.1460962863,126.640093616,8.35006699465,0.0,14.6997975511
12.0,-13.3612060733,133.809798233,10.8976114239,135.084556149,8.63704244158,0.0,14.6997776899
12.0,-13.3612060733,133.809798233,10.8976114239,135.084556149,8.63704244158,0.0,14.6997776899
13.0,-4.36804560973,132.442444972,9.82142551342,144.244510635,9.78331182469,0.0,14.6997736408
13.0,-4.36804560973,132.442444972,9.82142551342,144.244510635,9.78331182469,0.0,14.6997736408
13.0,-4.36804560973,132.442444972,9.82142551342,144.244510635,9.78331182469,0.0,14.6997736408
14.0,5.44365517915,131.297470047,9.51318770568,154.127599752,10.0876566415,2.0,14.6997736647
14.0,5.44365517915,131.297470047,9.51318770568,154.127599752,10.0876566415,2.0,14.6997736647
14.0,5.44365517915,131.297470047,9.51318770568,154.127599752,10.0876566415,2.0,14.6997736647
15.0,12.6413143688,133.683999248,13.6439075688,162.762683193,5.89858671824,2.0,15.4172676745
