time,x,y,z,d,V,Wv,E
0,-130,170,75,0,10,0.0319021803651,80.0968399592
1.31313131313,-117.50386527,161.572374252,68.2861878041,16.5001070644,15.1011853863,0.0628865887808,79.9098156151
2.22222222222,-104.213270456,156.819377445,66.0629784663,30.7890380577,16.3093200145,0.0618119559382,79.6313998019
3.0303030303,-90.8401443049,155.451200359,63.9308863981,44.3999979126,17.3545667357,0.0460202912986,79.3039328293
3.83838383838,-88.9692232799,141.660135549,57.8867783642,59.573166863,20.3072844794,0.202243177665,78.906327023
4.54545454545,-74.793482158,143.040005582,53.1110569312,74.595257026,22.2564829854,0.171245380097,78.3218573906
5.15151515152,-67.7848378018,131.498148432,52.3163767903,88.1217894242,22.3881953049,0.283846535732,77.8397248061
5.85858585859,-52.7210878984,127.361713026,47.1727275519,104.568180716,24.2604582665,0.282352259037,77.1391262183
6.46464646465,-39.798058474,134.362956854,46.3132369243,119.29098034,24.3274530548,0.269965038055,76.4470540074
7.07070707071,-25.4500364516,133.099714989,41.5069799371,134.475236074,25.8879667202,0.227296367833,75.636514166
7.67676767677,-14.9822217483,122.417055861,44.552011389,149.73847843,24.3756260171,0.189808220222,74.7988870348
8.28282828283,-3.06055430225,114.318309372,46.1589116036,164.240132739,23.4189288081,0.157092069828,74.0859108637
8.9898989899,-8.29623925765,99.5414995244,49.2944793466,180.227574414,21.7349190255,0.0889899064995,73.3370744826
9.69696969697,2.76558574892,90.1144250868,52.2284851627,195.054647458,20.1123741764,0.171146948627,72.8963154405
10.6060606061,17.5184969654,81.5696079335,55.7387650611,212.461093233,18.0690059109,0.176067296009,72.3893479374
11.4141414141,3.98050618419,75.5204675522,53.5494065563,227.449841826,19.048511928,0.214895229674,72.0116272419
12.2222222222,19.1395759609,75.5521427658,46.9339161213,243.98958528,21.9347409923,0.134735961033,71.4585545527
12.9292929293,31.4389940524,66.9885383676,40.2282341046,260.408390869,24.376815793,-0.10172417034,70.5118538162
13.5353535354,43.5111940916,74.2317319619,33.9470261173,275.824468224,26.4100580806,-0.0529774232473,69.4985612297
14.2424242424,59.3248892866,80.8214274543,38.9220182748,293.663963435,24.0315634631,-0.037459885387,68.3070049614
14.8484848485,48.9403295012,70.7886298235,39.1006004294,308.104462104,23.595861019,-0.123922003202,67.4453536155
