time,x,y,z,d,V,Wv,E
0,-130,170,75,0,10,0.0319021803651,80.0968399592
1.31313131313,-117.50386527,161.572374252,68.2861878041,16.5001070644,15.1011853863,0.0628865887808,79.9098156151
2.22222222222,-115.185871798,147.800240928,62.1536676131,31.7530593662,18.494848787,0.104922202607,79.5723543224
3.0303030303,-100.749403938,147.162856695,63.7337671588,46.2897225836,17.4259927359,0.109000472076,79.2336067954
3.83838383838,-111.225506815,156.771016635,58.8741428675,61.3124193187,19.7452818513,0.0570499022249,78.7124906438
4.54545454545,-104.577543411,144.953480448,60.3802425177,74.9549233092,18.7806282845,0.141590435621,78.3801159532
5.35353535354,-99.3115611426,130.948041429,53.9368778375,91.2460202571,21.6776330442,0.246019878376,77.8890160365
5.9595959596,-86.1955955299,131.997893377,53.1397140736,104.428061568,21.8272386205,0.250698692489,77.4002434874
6.56565656566,-73.1611928651,134.469486629,51.1798817178,117.838705434,22.4797638012,0.269653167302,76.9106318358
7.27272727273,-59.3149826723,127.87389508,44.5960530915,134.529006928,24.9010485971,0.281286685541,76.2007185243
7.87878787879,-47.8641559415,118.05539876,42.3792618362,149.774939706,25.4532565134,0.268231318441,75.3751447382
8.48484848485,-33.3588188092,114.068784187,37.3699198908,165.630267133,26.9748129594,0.220197325109,74.4210232353
9.09090909091,-24.0618585331,102.146942134,41.8009203255,181.384553951,24.9288037568,0.107457612762,73.4422270199
9.69696969697,-10.7554187922,96.6488082844,44.6655628967,196.064369736,23.4487525204,0.106124090096,72.6631883519
10.303030303,-14.9790677401,83.4016148635,39.9816823991,210.736318498,25.0387163295,0.143283613941,71.8948048668
10.9090909091,-1.67746146307,76.8951364656,34.9878726712,226.363382403,26.5747776983,0.120998374656,70.9470381354
11.4141414141,8.54278223312,85.5543047849,34.079333796,239.789477147,26.5798871355,0.0750441174262,70.0598269298
11.9191919192,0.334565057229,95.9388592631,30.8066633539,253.424878598,27.4253350978,0.0422334419573,69.1022864783
12.5252525253,13.4481612822,86.4892041495,25.362391382,270.480742253,28.8753260384,0.0970865734341,67.8265837265
13.1313131313,3.62664720361,99.3695911456,30.1181349127,287.36219967,26.7609062333,0.119677555022,66.6046787367
13.6363636364,16.9577832438,97.5150885736,27.9980094614,300.987664793,27.1837392658,0.0566381949721,65.6437162056
