time,x,y,z,d,V,Wv,E
0,-130,170,75,0,10,0.0319021803651,80.0968399592
1.31313131313,-117.50386527,161.572374252,68.2861878041,16.5001070644,15.1011853863,0.0628865887808,79.9098156151
2.22222222222,-114.04190913,147.888597403,66.1202824231,30.7802343499,16.3093200145,0.124649178472,79.6821773554
3.13131313131,-98.9395384733,146.402138341,60.9895898474,46.7994467617,18.9442336106,0.09753636905,79.2367348546
3.83838383838,-85.6009091909,144.592827091,60.1193486174,60.2883295225,19.1965754483,0.138949203953,78.9157766306
4.64646464646,-77.1174557462,132.218433518,61.8950321321,75.3961966977,18.1009277365,0.271059621928,78.6113406245
5.55555555556,-65.2646190568,120.63065353,55.5528792487,93.1441342067,21.0458395076,0.227955544521,78.103035161
6.26262626263,-68.9748223647,106.179906625,51.9601514204,108.490058355,22.3986453964,0.166673244484,77.4976088183
6.86868686869,-65.1555681053,93.1397540885,51.113898227,122.104331223,22.5259083599,0.195547685992,76.9459480771
7.47474747475,-71.602792872,105.205104735,49.0296324201,135.942089617,23.1565244424,0.159796375468,76.3335828828
8.08080808081,-62.4602467346,94.7116204817,49.3736351892,149.863932151,22.7491585366,0.182665124822,75.7208258238
8.78787878788,-46.9504604835,94.7055838977,42.6234320169,166.778977196,25.1600304063,0.133414655378,74.8793990936
9.39393939394,-33.611669195,88.9957937229,36.2532431939,182.625250023,27.1662037168,0.0956176057224,73.8691663323
9.89898989899,-21.8599801107,81.9745839383,35.3498398834,196.344423494,27.153843969,0.113304057144,72.9004336086
10.5050505051,-6.64132210782,82.1841897797,39.8416183348,212.213499071,25.1015576013,0.137766384946,71.9125563376
11.1111111111,5.44517370582,74.2149495398,33.4857826143,228.024533786,27.1097749034,0.0974809814292,70.9457559052
11.7171717172,19.648461894,68.8153035707,37.8806836977,243.842394813,25.0590369049,0.0212729975218,69.8614265689
12.4242424242,35.846886884,69.961019878,42.5335638037,260.73472832,22.734397052,-0.0989589156949,68.8249073186
13.0303030303,44.7560615076,59.543779667,38.8446169884,274.929819538,23.8585041971,-0.397182245096,67.8764567557
13.7373737374,58.2970909008,68.4763847785,31.5714257748,292.707620908,26.2255408286,-0.195096237147,66.6160746194
14.4444444444,43.058206307,76.0337063012,36.49498481,310.41575875,23.8545352639,-0.0328968201866,65.4641659136
