time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
2.0,-123.927225287,156.88207642,18.0899176756,14.5810468161,6.20288200171,5.14264605949,0.0,20.0509648278
2.88888888889,-121.653308296,150.259936188,19.1528687504,21.662946612,1.58643953234,5.40527061638,0.0,19.2811455287
4.88888888889,-113.435933546,134.987620337,14.6800214419,39.5731460046,9.50126189011,4.27052668729,0.0,19.2811416001
6.88888888889,-104.799133872,114.720993002,16.1425996113,61.6518603476,5.12274527414,4.65013098971,0.0,17.4801388133
8.88888888889,-100.5813636,98.3889552659,16.689412728,78.5285912889,3.25250763866,4.7899186585,0.0,17.2285975363
10.8888888889,-98.2650211913,82.39187324,16.3385142666,94.6963123785,3.93973071342,4.70034830643,0.0,17.1296191644
12.8888888889,-97.9322808287,65.0344937585,16.0128378492,112.05993538,4.35374786553,4.61678803625,0.0,16.978950004
14.8888888889,-100.017738208,49.103641484,16.4094506446,128.131602636,2.88338005583,4.71849411261,0.0,16.8331958304
16.8888888889,-99.8913740024,36.4967194332,16.7294063034,140.743217248,1.08965054146,4.80009704676,0.0,16.7899230364
18.4444444444,-99.2356773373,27.4403523997,16.621754419,149.823928173,1.78289077565,4.7726854285,0.0,16.7837676463
18.6666666667,-99.0403654078,26.162504518,16.7239550915,151.120649783,1.00178958039,4.798710076,0.0,16.7751060784
18.8888888889,-98.921991643,25.0326191595,16.7696624557,152.257638101,0.294501747059,4.81033598454,0.0,16.7740830102
19.1111111111,-98.8106964432,23.9493429109,16.7439061611,153.346921094,0.769460733309,4.80378573386,0.0,16.7740830122
19.3333333333,-98.6828875856,22.9092442588,16.7634727409,154.395025651,0.445930630888,4.80876207323,0.0,16.7736080175
19.5555555556,-98.5366968873,21.9349386856,16.6943422074,155.38266025,1.24707418326,4.79117354969,0.0,16.7736079575
19.7777777778,-98.3797501716,21.0732992491,16.7129442694,156.25867442,1.08496616218,4.79590820212,0.0,16.7729418011
20.0,-98.3271051793,20.1718907567,16.7562081414,157.1626548,0.547936618853,4.80691465199,0.0,16.7715106153
20.2222222222,-98.2844970629,19.1769638607,16.7678855751,158.158562096,0.262806298848,4.80988417726,0.0,16.7714058172
20.4444444444,-98.231445155,18.1526443801,16.7629341738,159.184266449,0.407068270826,4.80862512017,0.0,16.7713798709
22.4444444444,-90.711364376,11.9601998116,12.6620694718,169.753801726,8.97912116282,3.73313236111,0.0,16.7713771608
24.4444444444,-85.5258250718,3.73981856726,14.4904611821,179.643569262,0.528950759462,4.22071887723,0.0,14.5047215749
