time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
2.0,-127.517411369,161.817359903,19.6759583504,8.55709344656,2.67319304359,5.53289909694,0.0,20.0401765486
4.0,-122.661514495,151.17281838,19.2993458344,20.2629823779,3.60926495791,5.44111669575,0.0,19.9633006528
4.5,-121.521163707,149.057020399,19.7170430392,22.7025462677,1.53804645836,5.54287830497,0.0,19.837613218
4.75,-121.261681718,148.171861882,19.8078552297,23.6294137645,0.693281113907,5.56491273374,0.0,19.8323526151
6.75,-117.714128803,140.098695962,19.0809152446,32.477553761,3.82675636296,5.38763151698,0.0,19.8272997636
8.75,-112.648200928,129.57878238,19.380824936,44.1575431801,2.61120771207,5.46102029086,0.0,19.7283481631
10.75,-110.106730627,118.956657249,19.4592953495,55.0797577538,2.16848294636,5.48016454269,0.0,19.6989649871
12.75,-107.063560635,109.733699799,19.4555963182,64.791803955,2.10200221109,5.47926263562,0.0,19.6807957726
14.75,-99.0852997184,100.725633146,17.324419698,77.0122714529,6.78901607004,4.95079421837,0.0,19.673590911
16.75,-90.2795352922,87.9216740154,18.2106316752,92.5772394326,4.03729047773,5.17269199052,0.0,19.0414020321
18.5,-84.7394283157,80.3982173919,18.544446778,101.926390057,2.75022993157,5.25548438119,0.0,18.9299597584
20.5,-75.5600317362,74.4677054021,16.2204850331,113.099263108,7.2500288801,4.67011262898,0.0,18.8995328803
22.5,-61.0663919273,68.2276433705,14.410491004,128.982589191,7.16984435646,4.19966447646,0.0,17.0306066052
24.5,-48.1286029846,64.9647940979,14.2055017194,142.327048292,6.38368697468,4.14558178694,0.0,16.2825383856
26.5,-36.0944878919,57.2219152222,13.9669434665,156.638896859,5.89721658997,4.08243695904,0.0,15.7394798329
28.5,-22.1559162444,48.9778961827,10.6072135298,173.177802952,9.54355477572,3.16965042094,0.0,15.2493867081
30.5,-5.41990482952,46.5728866811,10.5227283847,190.085945562,7.78051899364,3.1461317745,0.0,13.6081756737
32.5,7.85345255371,45.1120911724,11.1986132141,203.456538669,6.22917808193,3.33350537207,0.6,13.1763226726
34.5,18.0955655816,47.3174269703,11.0151216036,213.934995351,7.17415991971,3.28281206047,0.6,13.6383922741
36.5,27.889268521,48.7177207002,12.27638149,223.908370722,5.3087639254,3.62861989454,0.6,13.7128225917
38.5,37.6856884516,48.7125279513,12.2161351479,233.704977279,6.53335987613,3.61224234137,0.6,14.3917106459
40.5,50.9551641728,46.0053772882,11.9908556759,247.249658947,7.38661485757,3.55087669792,0.6,14.7717975237
42.5,61.3755594071,46.9796124939,13.2687073642,257.793219826,5.42354878431,3.89634754517,0.6,14.7679367942
44.5,68.1345970665,50.2431641824,13.1930465425,265.299289654,6.61321835328,3.87606914613,0.6,15.4221320159
46.5,77.5540353751,50.3461032912,14.411432104,274.797756788,4.99785792868,4.19991239202,0.6,15.6845505482
48.5,80.4453471669,44.328766858,16.3542151949,281.750628695,1.61076542856,4.70436635093,0.6,16.4864560341
48.5,80.4453471669,44.328766858,16.3542151949,281.750628695,1.61076542856,4.70436635093,0.6,16.4864560341
50.25,81.3369539238,39.5303977405,17.4204971767,286.746253387,1.35152526809,4.97499845696,0.6,17.5135971028
52.25,82.9247168008,33.5765191827,18.4650926967,292.996120636,2.09326752922,5.23584231561,0.6,18.6884244474
54.25,84.7347755082,26.8693978489,19.6284872771,300.039931825,2.10595836936,5.52136050953,0.6,19.8545352207
56.25,90.8308794732,19.0950645186,19.9275335786,309.923866819,4.43283453166,5.59390222772,0.6,20.9290637511
58.25,93.3321466876,10.5485426681,21.6730261992,318.998342998,1.90851149264,6.01038485077,0.6,21.8586743193
60.25,97.3955288229,2.7166866709,22.5247466246,327.862567184,2.79278958454,6.20931149599,0.6,22.9222835086
62.25,106.478991337,-6.41669201555,20.6955068947,340.873101971,7.10472283425,5.77860273734,0.0,23.2682432123
64.25,118.519300484,-19.3315165216,20.4878364687,358.531099123,6.34305739016,5.72888327597,0.0,22.5385182758
66.25,128.170596373,-28.7406102041,21.2819836238,372.033292498,3.82654671812,5.91810931089,0.0,22.0282863652
68.25,133.308555134,-39.369036963,21.581828235,383.842271387,2.61137220318,5.9889177097,0.0,21.9293952474
70.25,136.162933167,-49.9517175031,21.6603828051,394.803419693,2.16805938262,6.00741064463,0.0,21.8999588238
70.5,136.517340902,-51.0695134246,21.8020045781,395.984575606,1.25314340222,6.0406899721,0.0,21.8820437415
72.5,139.138443468,-61.3935813882,21.2958735235,406.648192564,3.16617825613,5.92139713185,0.0,21.8068156616
74.5,149.315829074,-73.9834927087,17.3725833318,423.30584098,9.32735966537,4.96293228513,0.0,21.8068156624
75.0,152.240277267,-78.9305980298,16.5472134704,429.111655626,8.34071330225,4.75367852953,0.0,20.092957527
77.0,165.749035974,-92.9101416738,16.3980425033,448.552243433,7.08706394245,4.71557718433,0.0,18.9580055678
79.0,178.867681321,-101.5548079,16.1893990425,464.264424758,6.33287110058,4.66214029097,0.0,18.2334997753
81.0,193.368837516,-110.446673516,12.6882519745,481.631256246,9.83518437962,3.74020625857,0.0,17.618468681
83.0,210.614556095,-113.398537735,12.6207091215,499.127909461,7.94365040693,3.721952338,0.0,15.8368957569
85.0,223.098752308,-112.192006888,12.4518217744,511.671409558,6.85157530675,3.67623179247,0.0,14.8444866156
86.25,225.418503365,-113.355999929,13.7731365153,514.58379645,0.687978983087,4.03097470907,0.0,13.7972606275
88.25,232.539742686,-115.385819075,9.69060944605,523.039518921,8.97621836712,2.91300787469,0.0,13.7972606272
90.25,249.324705913,-117.792981951,7.59440893185,540.125287275,8.02773133116,2.31381681626,0.0,10.8790404469
92.25,260.005515092,-117.487548602,8.74181008567,550.87189156,4.54903521083,2.64391223257,0.0,9.79653594446
94.25,265.904658873,-116.3989785,8.43548935605,556.878447529,4.73750357687,2.55628749282,0.0,9.57942106557
96.25,274.066307805,-117.528915986,8.1351270488,565.123415056,4.85800459006,2.4700131562,0.0,9.33799191104
98.25,286.506411526,-120.89973715,5.10411205724,578.363719727,8.8507338612,1.57978398292,0.0,9.09674660779
100.0,298.547999836,-124.58843723,6.29780270721,591.014065757,5.23074178322,1.93463989892,0.0,7.69233173895
