time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
2.0,-125.259464247,161.026661407,18.884475893,10.2096953315,4.76190836119,5.33937280285,0,20.0402236627
4.0,-117.776021581,153.826354073,19.3622019198,20.6055869239,3.05613955725,5.45647336209,0,19.838246211
6.0,-111.617397229,144.377408634,19.001952507,31.8901340332,3.82188991108,5.36825098133,0,19.746439892
8.0,-103.793483292,137.20719972,18.6700094563,42.5078414768,4.2839745617,5.28651420916,0,19.6054038521
10.0,-95.3863465189,128.279264338,18.3541553677,54.7751860431,4.57202206394,5.20834161337,0,19.4195674856
12.0,-86.3957877521,122.435475678,18.0482314483,65.502422513,4.75308277027,5.1322571299,0,19.1996991252
14.0,-78.1104698208,119.765881729,17.7488349574,74.2123515215,4.86660350614,5.05744393807,0,18.9559618528
16.0,-70.5407860906,113.745313645,18.2469355596,83.8971569428,3.10756476791,5.18171701745,0,18.7391352938
16.75,-68.5513495906,111.656999157,18.3928746449,86.7850996715,2.48979883006,5.21794532395,0,18.7088327598
18.75,-60.2831382571,110.743202296,14.840258332,95.8305087848,8.71214269294,4.31252075229,0,18.7088327612
20.75,-51.1230462492,113.44939069,16.1334841219,105.469138053,4.83428865736,4.64779085438,0,17.3246332973
22.0,-47.4914917387,110.906293894,16.7972279879,109.95200381,2.06528828127,4.81734349845,0,17.0146293989
24.0,-44.0085699874,104.330274087,16.7734978208,117.393464927,2.09712506106,4.81131116065,0,16.9976534539
24.25,-43.6630710197,103.631007605,16.9094232123,118.185183854,1.19076755367,4.84583450709,0,16.9816927009
24.5,-43.5361880918,102.89313335,16.9721891053,118.936514175,0.38340828091,4.86175202808,0,16.9796815573
26.25,-41.2967465444,97.9140646035,16.3460668703,124.431807896,3.5256801545,4.70228122239,0,16.9796255121
28.25,-34.0066963022,91.8112616579,16.0034626413,133.945293797,4.1017449513,4.61437649391,0,16.8609708801
30.25,-27.7295355962,83.3768300597,16.3551037776,144.465086305,2.73524481203,4.70459372063,0,16.7364271304
31.25,-25.4020808236,80.174388624,16.4932219262,148.426368104,2.07620821317,4.73989795839,0,16.7129283759
32.5,-21.2963577112,77.9091144768,15.024091416,153.340304783,5.75629926201,4.36057589866,0,16.712928378
33.75,-16.104278658,79.1177444228,14.1870265912,158.736520936,6.25126198952,4.14069943967,0,16.1787838012
