time,x,y,z,d,V,Wy,Wz,E
0,-130,170,20,0,1,5.6108572,0,20.0509683996
2.0,-121.732640814,159.85975313,15.8252845466,13.7332473803,9.10537847641,4.56847962244,0,20.0509683998
4.0,-117.707839954,149.493589553,17.6826163376,25.0073793048,0.50999802516,5.04085019248,0,17.6958731157
4.25,-117.685852186,148.575581602,17.694802081,25.9257313905,0.140083777271,5.04390510114,0,17.6958022576
5.0,-117.316760051,145.627387927,17.5671687753,28.8996791388,1.58863431192,5.01187940272,0,17.6958007313
7.0,-115.822816253,136.023248159,17.4398784262,38.6201509163,2.17645339245,4.97987671445,0,17.6813131545
9.0,-114.86183275,126.878089333,17.5747109795,47.8166501996,1.31911785062,5.01377364936,0,17.6633996596
11.0,-113.109861263,116.306826124,17.0807315622,58.5434868999,3.15988538343,4.88924242579,0,17.5896446935
11.5,-111.973631233,113.474553576,17.0610949768,61.5952359169,3.15999370181,4.88427248687,0,17.570042999
12.5,-109.985915448,109.102231592,17.3925904931,66.4096001372,1.44194614638,4.96797178512,0,17.4985644324
14.25,-106.622396165,102.758746339,17.0482190216,73.597900273,2.82525593753,4.88101282228,0,17.4550524117
16.0,-101.403330526,97.4997667284,16.7732853817,81.0121501473,3.48983864894,4.8112571476,0,17.3940281848
18.0,-95.9616563697,91.5337350434,17.0114826994,89.0906456537,2.46032175322,4.87170914881,0,17.3200037559
18.75,-95.1570909425,88.7772451367,17.2863737134,91.9752820609,0.108752910671,4.94119960134,0,17.2869765267
19.0,-95.1204334159,87.8821423706,17.2803160776,92.8711556185,0.361478611263,4.93967143891,0,17.2869759545
20.25,-94.362318817,82.6457265411,17.0368551709,98.1677641274,2.21501433617,4.87813542544,0,17.2869208442
22.25,-89.8051125642,73.1763044452,16.6350926986,108.684393661,3.38362468066,4.77608422584,0,17.2186256232
24.25,-84.5006789445,65.404784099,16.853911539,118.096164281,2.41658698799,4.8317439103,0,17.1515615222
24.5,-84.0546177544,64.6227813137,17.0154268889,119.010815116,1.47001474691,4.87270828756,0,17.1255667134
26.5,-78.6454996684,58.7730843973,15.9523026482,127.048709469,4.69718779782,4.60121082334,0,17.0768476639
28.5,-71.4198599132,53.4186868595,16.4175512875,136.054035624,3.02354868929,4.7205650452,0,16.8834965819
29.75,-68.7305730725,50.7738262284,16.594133439,139.830109342,2.22751292332,4.76564498295,0,16.8470291487
31.5,-64.7763546958,46.7009750667,16.2986744746,145.514408381,3.142370006,4.69014855557,0,16.8019613887
33.25,-60.7034671683,42.4190078471,16.4889934418,151.427096212,2.27455895666,4.73881821981,0,16.7526844942
35.25,-55.4141125166,35.8344873767,16.0905955265,159.882384696,3.40730706322,4.63677612849,0,16.6823254665
37.25,-50.2369404628,27.4039674678,16.3136933713,169.778169105,2.42654125738,4.69399440544,0,16.6138005311
37.5,-49.7809907704,26.5686073897,16.4760033248,170.743602222,1.47864486801,4.7355007739,0,16.5874401569
39.5,-43.1814055027,22.5916499516,14.5009287144,178.697949202,6.39823058666,4.22347291058,0,16.587440164
41.5,-33.3662340799,23.0378540317,14.2632820028,188.526131338,5.9052360362,4.16084258794,0,16.0406424841
42.25,-31.9116102219,22.6713974443,15.193484166,190.291208408,1.95139458663,4.40474000043,0,15.387568816
42.75,-31.4945924299,21.2829691691,15.3682892641,191.751411728,0.328181658445,4.45019831347,0,15.3737787239
44.75,-24.7926455488,16.5447668549,12.3276771367,200.504238431,7.73075113839,3.6425531465,0,15.373778725
45.75,-20.3354187891,16.5460261245,13.3292476849,205.072609643,3.86322197643,3.91255737023,0,14.0899247511
47.75,-15.1490392937,13.2333387535,13.6361277705,211.234314381,2.62585925902,3.99450622981,0,13.9875618607
49.75,-8.66348912379,15.1360295752,10.0114398484,218.903796495,8.83241268858,3.00320944035,0,13.9875618617
51.75,2.20587857536,20.2716519662,10.4606894782,230.933742328,6.13684307435,3.12884396383,0,12.3802023691
53.75,7.57712932968,17.0492144476,14.4768140815,238.374420729,1.13917168411,4.21712765231,2.21140382594,14.5429563917
55.75,16.1419977059,12.70049182,10.9395631435,248.610655534,9.05065109116,3.26189946157,0,15.1146031625
57.75,29.902985335,16.0043147629,11.2698309916,262.766541357,6.39298705342,3.3531454971,2.21140382594,13.3529239307
59.75,41.7010106517,12.8035996195,10.1816589148,275.039360807,7.5526470629,3.05090418729,0,13.0890227098
61.75,55.6219795758,5.39608091373,9.993932106,290.809584348,6.61731888182,2.99829745077,0,12.225782727
63.75,67.7057675789,2.49180703008,9.76490639845,303.239596097,6.04325941453,2.93393207226,0,11.6263225224
65.75,77.2266095176,3.04262892143,9.51286688052,312.779688334,5.68324941345,2.86286332667,0,11.1591117274
67.75,83.6643426787,5.97346130815,9.24745919162,319.858150594,5.45451552493,2.78775827501,0,10.7638577447
69.75,90.7487350289,4.80282493214,9.86156466674,327.064823199,3.39710694313,2.96112176701,0.0,10.4497571022
