time,x,y,z,d,V,Wv,E
0,-130,170,75,0,10,0.0319021803651,80.0968399592
1.18236472946,-119.018998014,162.594207963,70.3998328025,14.0210448455,13.7026922413,0.0542955162502,79.9570294786
2.12424849699,-107.718725186,155.90606506,69.4808184936,27.1843274442,14.2217530747,0.0741981396877,79.7812421509
3.02605210421,-96.9650029873,148.207436939,67.4252418616,40.5685275084,15.4561386788,0.105015486092,79.5799485556
3.86773547094,-97.7256385953,134.861370519,64.2487797536,54.3084680817,17.2641321085,0.248454990545,79.4243055455
4.62925851703,-84.7159972434,131.848971993,62.2905592218,67.8051321373,18.2233695921,0.270048646816,79.212007487
5.35070140281,-78.8905254731,119.915127015,59.0975487327,81.4633931285,19.7011426977,0.224920148871,78.8828692675
6.0120240481,-65.8075982115,118.846918431,57.1213792408,94.7377782807,20.4735306394,0.208807179507,78.48833481
6.73346693387,-51.8701497182,118.493273556,59.9574300529,108.965241843,18.8609553124,0.202811665559,78.1162132674
7.49498997996,-40.2051271897,110.586864299,53.8214617612,124.335152864,21.5981573105,0.179330993459,77.5733943424
8.13627254509,-27.2125919472,114.714088509,49.2465081832,138.714657443,23.3363102591,0.193163469262,76.9649612077
8.81763527054,-12.3004009432,112.499435056,52.3070826449,154.097935589,21.719971678,0.173058016438,76.3942807515
9.45891783567,-7.69299943136,99.5915386281,47.6389052457,168.576672382,23.454074056,0.0900083171184,75.6354839736
10.0601202405,3.03401446997,90.9233194778,42.974595071,183.135609152,25.0320957793,0.13277008789,74.8574998765
10.6012024048,14.0200588606,83.1836451513,43.2743773057,196.577543515,24.6228029716,0.148178798006,74.2626958868
11.2625250501,28.9552744476,82.1402435106,47.6638267078,212.179358078,22.4699349234,0.117600252211,73.4563802961
11.9839679359,44.7580268272,81.33291172,41.3810831024,229.204387729,24.7040752723,0.0343933314534,72.4327959114
12.5851703407,51.2402095601,68.7480713456,44.0286469757,243.606002037,23.2438761309,-0.15938300352,71.6644095011
13.246492986,62.9893689329,59.8333220301,37.2280917938,259.846785643,25.4912308526,-0.384259973082,70.4018013506
13.7675350701,70.049559154,71.0621166749,36.1950988609,273.150889879,25.5261505078,-0.202210152221,69.3520314579
14.3687374749,81.2696732481,61.7395046362,29.5720461986,289.171716389,27.5045736682,-0.259551562841,68.1839707928
14.9899799599,89.7589022747,48.4282584584,34.003644905,305.569745276,25.3861751898,-0.178683701705,66.9623727426
15.5911823647,103.466643382,43.6663313904,27.3838921816,321.519643138,27.3694955565,-0.318712814223,65.6114902265
16.2124248497,100.242504542,28.2915163845,31.8685082909,337.856466249,25.2560186141,-0.0475369067172,64.4858150265
16.8136272545,111.837094009,19.6841835281,25.4080090763,353.676034319,27.2438736351,-0.117076405634,63.2728471599
17.4348697395,125.333478385,11.7889026659,29.8553440654,369.932314324,25.1349555277,-0.171077948325,62.1054881293
18.1362725451,132.699782283,-2.60086576595,34.2862017817,386.694186796,22.8267535049,-0.374058222396,60.932194497
18.7975951904,142.446279713,8.13209286756,27.6706804118,402.630175506,25.0892069368,-0.293448024862,59.7836262912
19.4789579158,127.282259233,12.1953382329,32.0642434017,418.932349464,22.8512369343,-0.137802398006,58.8108656801
20.2605210421,132.049149975,-3.32392216084,36.4732425373,435.755249449,20.3639830783,-0.374363973472,57.6731349304
21.1422845691,146.014280643,-11.3780178877,40.8628252477,452.463384262,17.6552375878,-0.296023729123,56.8039153558
21.9639278557,157.777362141,-19.6757303861,34.2929177199,468.286968052,20.6428154177,-0.200387099644,56.0307174429
22.6853707415,171.221305725,-25.0124657216,27.7591004335,484.158676575,23.1800766676,-0.166266343726,55.1648103197
23.3867735471,159.017314439,-35.0777287744,21.415316778,501.202458863,25.3294836355,-0.0507265013862,54.0570657321
24.0681362725,163.964186713,-20.0170813236,25.8772758351,517.670723057,23.0824729459,-0.174391281853,53.1256866697
24.8096192385,168.759326293,-34.8756695886,30.2619946524,533.887898148,20.7187652858,-0.140488227222,52.2132073716
25.5310621242,180.936365295,-42.7738482714,23.7546951929,549.794074672,23.253205441,-0.0876068093498,51.3416955181
26.2725450902,193.991323229,-33.9958046843,28.1869506859,566.138213213,20.8828875177,-0.144359278427,50.4747475945
27.0941883768,202.173144862,-20.8309764691,32.5375795884,582.237370924,18.3448271591,-0.0917299970703,49.769478515
28.0561122244,206.246742857,-5.71873234793,36.8799313945,598.48021988,15.4729099677,-0.150317722492,49.1201836163
28.9779559118,191.82711858,-4.25651264021,30.2071363663,614.43609166,18.8958275981,-0.224692713861,48.4236560666
29.6793587174,200.941709526,-14.0089989202,26.784183343,628.216634615,20.3136858543,-0.0941627906996,47.7996271537
30.4208416834,197.283536713,0.199313393724,20.1464016746,644.32000422,22.9293448272,-0.167003743767,46.9734195482
31.0821643287,206.742219035,-10.8692834433,13.6543089618,660.261389824,25.1881037097,-0.0638137168457,46.0192929213
31.7434869739,191.379966741,-6.07037762353,7.24055173217,677.586648103,27.1484241037,-0.00189791095324,44.7433328757
32.3647294589,204.854507782,-13.8927763754,11.7230562771,693.799174911,25.0429581889,-0.0231085710923,43.7674140397
