time,x,y,z,d,V,Wv,E
0,-130,170,20,0,10,0,25.0968399592
1.0,-120.170617283,165.416483564,15.5386785201,11.7272663851,13.4144045661,0.0,24.7102508882
2.0,-107.017802978,160.878027793,12.5402837001,25.9604837456,15.0151101229,0.0,24.0312894087
3.0,-95.927528391,150.154314483,9.24697004892,41.735087777,16.4909338398,0.0,23.107872134
4.0,-91.516890715,138.641817784,15.7741349589,55.6848256498,11.4445375829,0.0,22.4498454832
5.0,-83.1299306072,130.532067658,14.7827410629,67.3934553228,11.959630052,0.0,22.0728914696
6.0,-75.1159694993,127.766803343,19.2101452424,76.9575636002,7.20340482811,0.0,21.8548466246
7.0,-68.1757050451,123.266785908,16.1723337576,85.7692448374,10.4036534999,0.0,21.6889497692
8.0,-63.3914191484,115.622480544,18.1664976477,95.0051251778,8.08860706364,0.0,21.5011339489
9.0,-55.8790082285,110.751487465,15.7492894232,104.279055682,10.4459894715,0.0,21.3108947258
10.0,-50.1191994636,101.548497094,14.3337870993,115.227757687,11.4382817978,0.0,21.0022014972
11.0,-49.1347398672,93.5777775689,18.5203950887,124.284755916,6.71107647496,0.0,20.8159377723
12.0,-45.9485990813,88.4869795633,19.2623418477,130.336053499,5.42675440965,0.0,20.7633440609
12.0,-45.9485990813,88.4869795633,19.2623418477,130.336053499,5.42675440965,0.0,20.7633440609
13.0,-39.5750433844,87.5958755861,17.4795409279,137.013976652,7.93776731489,0.0,20.6909654919
13.0,-39.5750433844,87.5958755861,17.4795409279,137.013976652,7.93776731489,0.0,20.6909654919
13.0,-39.5750433844,87.5958755861,17.4795409279,137.013976652,7.93776731489,0.0,20.6909654919
13.0,-39.5750433844,87.5958755861,17.4795409279,137.013976652,7.93776731489,0.0,20.6909654919
13.0,-39.5750433844,87.5958755861,17.4795409279,137.013976652,7.93776731489,0.0,20.6909654919
14.0,-35.3644461471,84.8657546945,20.0559242315,142.654937572,3.39091863555,0.0,20.6419756684
15.0,-33.0485279499,81.1653934953,19.0038256416,147.145267353,5.63004738459,0.0,20.619393101
16.0,-27.2360835994,77.3966464844,15.7252092968,154.80929296,9.68531840342,0.0,20.5063200296
17.0,-16.8199137014,75.6858304135,11.9025117722,166.03589099,12.7346126724,0.0,20.1680754784
18.0,-4.64908778416,70.3979425747,9.03081607995,179.612981895,14.3855611262,0.0,19.5784393682
19.0,5.33794824159,62.9876148813,12.4290195359,192.50490308,11.4137097723,3.0,19.0688141723
